row_idx,col_idx,mentions
1,1,51
2,1,11
3,1,56
4,1,3
5,1,3
6,1,22
7,1,1
8,1,0
9,1,24
10,1,5
1,2,42
2,2,37
3,2,81
4,2,0
5,2,5
6,2,4
7,2,277
8,2,43
9,2,3
10,2,33
1,3,1470
2,3,1313
3,3,2019
4,3,2394
5,3,621
6,3,1096
7,3,0
8,3,640
9,3,968
10,3,275
1,4,248
2,4,428
3,4,9
4,4,251
5,4,29
6,4,9
7,4,0
8,4,0
9,4,91
10,4,80
1,5,889
2,5,611
3,5,4146
4,5,56
5,5,463
6,5,3121
7,5,6
8,5,35
9,5,320
10,5,214
1,6,1753
2,6,1709
3,6,393
4,6,753
5,6,947
6,6,130
7,6,58
8,6,926
9,6,322
10,6,2153
1,7,193
2,7,108
3,7,0
4,7,134
5,7,165
6,7,4
7,7,278
8,7,0
9,7,46
10,7,55
1,8,46
2,8,13
3,8,57
4,8,128
5,8,4
6,8,64
7,8,0
8,8,0
9,8,104
10,8,19
1,9,131
2,9,3
3,9,6
4,9,1
5,9,36
6,9,0
7,9,0
8,9,0
9,9,48
10,9,6
1,10,433
2,10,186
3,10,24
4,10,83
5,10,151
6,10,13
7,10,143
8,10,67
9,10,80
10,10,161
